timestamp,MAF,delta_t,CO2_g,CO2_cumulative_g
2025-04-11 18:44:00,12.86,0.0,0.0,0.0
2025-04-11 18:44:01,12.33,1.0,2.60319990814732,2.60319990814732
2025-04-11 18:44:02,15.55,1.0,3.2830298922701404,5.8862298004174605
2025-04-11 18:44:03,22.080000000000002,1.0,4.6616913196993375,10.547921120116797
2025-04-11 18:44:04,22.69,1.0,4.790478987499002,15.338400107615799
2025-04-11 18:44:05,6.55,1.0,1.382883973914432,16.721284081530232
2025-04-11 18:44:06,6.61,1.0,1.395551613370137,18.11683569490037
2025-04-11 18:44:07,6.58,1.0,1.3892177936422845,19.506053488542655
2025-04-11 18:44:08,7.33,1.0,1.5475632868385933,21.053616775381247
2025-04-11 18:44:09,9.86,1.0,2.081715417220809,23.135332192602057
2025-04-11 18:44:10,20.69,1.0,4.368224338975511,27.50355653157757
2025-04-11 18:44:11,22.63,1.0,4.777811348043297,32.281367879620866
2025-04-11 18:44:12,11.83,1.0,2.4976362460164476,34.779004125637314
2025-04-11 18:44:13,6.05,1.0,1.2773203117835594,36.05632443742088
2025-04-11 18:44:14,21.080000000000002,1.0,4.450563995437593,40.50688843285847
2025-04-11 18:44:15,14.91,1.0,3.147908404742623,43.65479683760109
2025-04-11 18:44:16,28.47,1.0,6.01079492173189,49.66559175933298
2025-04-11 18:44:17,20.88,1.0,4.408338530585243,54.07393028991822
2025-04-11 18:44:18,12.24,1.0,2.5841984489637633,56.658128738881985
2025-04-11 18:44:19,6.83,1.0,1.4419996247077207,58.100128363589704
2025-04-11 18:44:20,6.74,1.0,1.4229981655241637,59.52312652911387
2025-04-11 18:44:21,7.33,1.0,1.5475632868385933,61.07068981595246
2025-04-11 18:44:22,20.05,1.0,4.2331028514479945,65.30379266740046
2025-04-11 18:44:23,18.830000000000002,1.0,3.9755275158486656,69.27932018324913
2025-04-11 18:44:24,24.38,1.0,5.147284165501351,74.42660434875047
2025-04-11 18:44:25,20.19,1.0,4.262660676844639,78.68926502559512
2025-04-11 18:44:26,5.63,1.0,1.1886468355936264,79.87791186118875
2025-04-11 18:44:27,12.66,1.0,2.672871925153696,82.55078378634245
2025-04-11 18:44:28,12.66,1.0,2.672871925153696,85.22365571149615
2025-04-11 18:44:29,6.11,1.0,1.2899879512392642,86.51364366273542
2025-04-11 18:44:30,6.3,1.0,1.3301021428489956,87.84374580558442
2025-04-11 18:44:31,6.97,1.0,1.4715574501043651,89.31530325568879
2025-04-11 18:44:32,6.66,1.0,1.406107979583224,90.72141123527202
2025-04-11 18:44:33,6.91,1.0,1.4588898106486605,92.18030104592067
2025-04-11 18:44:34,9.02,1.0,1.904368464840943,94.08466951076161
2025-04-11 18:44:35,16.27,1.0,3.435041565738597,97.51971107650022
2025-04-11 18:44:36,19.41,1.0,4.097981363920478,101.6176924404207
2025-04-11 18:44:37,23.36,1.0,4.931934294754371,106.54962673517507
2025-04-11 18:44:38,18.580000000000002,1.0,3.922745684783229,110.47237241995829
2025-04-11 18:44:39,12.8,1.0,2.7024297505503405,113.17480217050863
2025-04-11 18:44:40,13.8,1.0,2.913557074812086,116.08835924532072
2025-04-11 18:44:41,6.49,1.0,1.3702163344587275,117.45857557977945
2025-04-11 18:44:42,6.33,1.0,1.336435962576848,118.79501154235629
2025-04-11 18:44:43,6.36,1.0,1.3427697823047005,120.13778132466099
2025-04-11 18:44:44,6.58,1.0,1.3892177936422845,121.52699911830328
2025-04-11 18:44:45,6.72,1.0,1.4187756190389287,122.9457747373422
2025-04-11 18:44:46,6.8,1.0,1.4356658049798683,124.38144054232207
2025-04-11 18:44:47,6.44,1.0,1.35965996824564,125.7411005105677
2025-04-11 18:44:48,6.5200000000000005,1.0,1.3765501541865799,127.11765066475428
2025-04-11 18:44:49,6.69,1.0,1.4124417993110765,128.53009246406535
2025-04-11 18:44:50,6.86,1.0,1.448333444435573,129.97842590850092
2025-04-11 18:44:51,6.72,1.0,1.4187756190389287,131.39720152753986
2025-04-11 18:44:52,6.44,1.0,1.35965996824564,132.7568614957855
2025-04-11 18:44:53,6.86,1.0,1.448333444435573,134.20519494022108
2025-04-11 18:44:54,6.72,1.0,1.4187756190389287,135.62397055926002
2025-04-11 18:44:55,6.8,1.0,1.4356658049798683,137.05963636423988
2025-04-11 18:44:56,6.7700000000000005,1.0,1.429331985252016,138.4889683494919
2025-04-11 18:44:57,6.8,1.0,1.4356658049798683,139.92463415447176
2025-04-11 18:44:58,6.91,1.0,1.4588898106486605,141.38352396512042
2025-04-11 18:44:59,6.88,1.0,1.452555990920808,142.83607995604123
2025-04-11 18:45:00,6.72,1.0,1.4187756190389287,144.25485557508017
2025-04-11 18:45:01,6.97,1.0,1.4715574501043651,145.72641302518454
2025-04-11 18:45:02,7.33,1.0,1.5475632868385933,147.27397631202314
2025-04-11 18:45:03,6.83,1.0,1.4419996247077207,148.71597593673087
2025-04-11 18:45:04,6.7700000000000005,1.0,1.429331985252016,150.1453079219829
2025-04-11 18:45:05,18.02,1.0,3.804514383196651,153.94982230517954
2025-04-11 18:45:06,24.580000000000002,1.0,5.189509630353701,159.13933193553325
2025-04-11 18:45:07,24.69,1.0,5.212733636022493,164.35206557155576
2025-04-11 18:45:08,6.24,1.0,1.317434503393291,165.66950007494904
2025-04-11 18:45:09,8.97,1.0,1.893812098627856,167.5633121735769
2025-04-11 18:45:10,23.740000000000002,1.0,5.012162677973835,172.57547485155072
2025-04-11 18:45:11,34.660000000000004,1.0,7.317673058912095,179.89314791046283
