timestamp,SPEED(km/h),MAF(g/s),CO2(g),CO2 ´©Àû(g),PPM/sec
2025-06-18 18:17:52,0.0,11.05,2.5189,199.39,19790.29
2025-06-18 18:17:53,0.0,11.11,2.534,201.93,19897.75
2025-06-18 18:17:54,0.0,11.08,2.526,204.45,19844.02
2025-06-18 18:17:55,0.0,10.77,2.4546,206.91,19288.81
2025-06-18 18:17:56,0.0,10.94,2.4947,209.4,19593.28
2025-06-18 18:17:57,0.0,11.16,2.5447,211.95,19987.3
2025-06-18 18:17:58,0.0,11.05,2.5196,214.47,19790.29
2025-06-18 18:17:59,0.0,10.8,2.4625,216.93,19342.54
2025-06-18 18:18:00,0.0,10.8,2.4627,219.39,19342.54
2025-06-18 18:18:01,0.0,10.8,2.4642,221.86,19342.54
2025-06-18 18:18:02,0.0,11.27,2.5688,224.43,20184.3
2025-06-18 18:18:03,0.0,10.97,2.5569,226.98,19647.01
2025-06-18 18:18:05,0.0,10.8,2.4771,229.46,19342.54
2025-06-18 18:18:06,0.0,11.11,2.5334,231.99,19897.75
2025-06-18 18:18:07,0.0,11.16,2.5444,234.54,19987.3
2025-06-18 18:18:08,0.0,11.3,2.5767,237.12,20238.03
2025-06-18 18:18:09,0.0,11.13,2.6421,239.76,19933.57
2025-06-18 18:18:10,0.0,10.97,2.5089,242.27,19647.01
2025-06-18 18:18:11,0.0,10.86,2.4765,244.74,19450.0
2025-06-18 18:18:12,0.0,11.08,2.527,247.27,19844.02
2025-06-18 18:18:13,0.0,10.77,2.4554,249.72,19288.81
2025-06-18 18:18:14,0.0,10.8,2.4636,252.19,19342.54
2025-06-18 18:18:15,0.0,11.11,2.5322,254.72,19897.75
2025-06-18 18:18:16,0.0,10.88,2.4819,257.2,19485.82
2025-06-18 18:18:18,0.0,11.41,2.6008,259.8,20435.04
2025-06-18 18:18:19,0.0,11.27,2.57,262.37,20184.3
2025-06-18 18:18:20,0.0,11.11,2.5325,264.91,19897.75
2025-06-18 18:18:21,0.0,11.11,2.5338,267.44,19897.75
2025-06-18 18:18:22,0.0,11.13,2.5384,269.98,19933.57
2025-06-18 18:18:23,0.0,11.24,2.5635,272.54,20130.57
2025-06-18 18:18:24,0.0,11.3,2.5765,275.12,20238.03
2025-06-18 18:18:25,0.0,10.99,2.5052,277.62,19682.83
2025-06-18 18:18:26,0.0,11.11,2.5327,280.16,19897.75
2025-06-18 18:18:27,0.0,10.86,2.4766,282.63,19450.0
2025-06-18 18:18:28,0.0,11.08,2.5263,285.16,19844.02
2025-06-18 18:18:29,0.0,11.33,2.5839,287.74,20291.76
2025-06-18 18:18:31,0.0,10.97,2.5006,290.24,19647.01
2025-06-18 18:18:32,0.0,10.97,2.5017,292.75,19647.01
2025-06-18 18:18:33,0.0,11.22,2.5596,295.3,20094.75
2025-06-18 18:18:34,0.0,11.33,2.5834,297.89,20291.76
2025-06-18 18:18:35,0.0,10.66,2.4302,300.32,19091.81
2025-06-18 18:18:36,0.0,11.22,2.5569,302.88,20094.75
2025-06-18 18:18:37,0.0,11.22,2.5586,305.43,20094.75
2025-06-18 18:18:38,0.0,11.11,2.5341,307.97,19897.75
2025-06-18 18:18:39,0.0,10.91,2.4884,310.46,19539.55
2025-06-18 18:18:40,0.0,11.24,2.5609,313.02,20130.57
2025-06-18 18:18:41,0.0,10.99,2.5066,315.52,19682.83
2025-06-18 18:18:42,0.0,10.94,2.4943,318.02,19593.28
2025-06-18 18:18:43,0.0,11.3,2.5762,320.59,20238.03
2025-06-18 18:18:45,0.0,10.88,2.4806,323.08,19485.82
2025-06-18 18:18:46,0.0,11.3,2.6396,325.71,20238.03
2025-06-18 18:18:47,0.0,10.99,2.5154,328.23,19682.83
2025-06-18 18:18:48,0.0,10.66,2.4305,330.66,19091.81
2025-06-18 18:18:49,0.0,10.61,2.4197,333.08,19002.26
2025-06-18 18:18:50,0.0,10.94,2.495,335.58,19593.28
2025-06-18 18:18:51,0.0,11.19,2.5501,338.13,20041.02
2025-06-18 18:18:52,0.0,11.36,2.5904,340.72,20345.49
2025-06-18 18:18:53,0.0,11.11,2.533,343.25,19897.75
2025-06-18 18:18:54,0.0,10.99,2.5066,345.76,19682.83
2025-06-18 18:18:55,0.0,11.52,2.6265,348.38,20632.05
2025-06-18 18:18:56,0.0,11.05,2.5199,350.9,19790.29
2025-06-18 18:18:58,0.0,10.69,2.4364,353.34,19145.54
2025-06-18 18:18:59,0.0,10.99,2.5063,355.84,19682.83
2025-06-18 18:19:00,0.0,10.8,2.4626,358.31,19342.54
2025-06-18 18:19:01,0.0,10.83,2.4692,360.78,19396.27
2025-06-18 18:19:02,0.0,10.86,2.477,363.25,19450.0
2025-06-18 18:19:03,0.0,10.99,2.5058,365.76,19682.83
2025-06-18 18:19:04,0.0,10.69,2.437,368.2,19145.54
2025-06-18 18:19:05,0.0,10.77,2.4554,370.65,19288.81
2025-06-18 18:19:06,0.0,10.91,2.4883,373.14,19539.55
2025-06-18 18:19:07,0.0,10.69,2.4375,375.58,19145.54
