timestamp,RPM,SPEED,THROTTLE_POS,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,MAF,FUEL_LEVEL
2025-04-11 18:14:46,789.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,29.80392156862745 percent,94 degree_Celsius,45 degree_Celsius,7.86 gps,N/A
2025-04-11 18:14:48,790.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,30.58823529411765 percent,94 degree_Celsius,45 degree_Celsius,7.49 gps,N/A
2025-04-11 18:14:50,789.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,30.980392156862745 percent,94 degree_Celsius,45 degree_Celsius,7.49 gps,N/A
2025-04-11 18:14:53,788.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.15686274509804 percent,94 degree_Celsius,45 degree_Celsius,7.24 gps,N/A
2025-04-11 18:14:55,793.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,31.764705882352942 percent,94 degree_Celsius,45 degree_Celsius,7.13 gps,N/A
2025-04-11 18:14:57,784.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,31.372549019607842 percent,94 degree_Celsius,45 degree_Celsius,7.69 gps,N/A
2025-04-11 18:14:59,788.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,30.19607843137255 percent,94 degree_Celsius,45 degree_Celsius,7.33 gps,N/A
2025-04-11 18:15:02,792.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,30.980392156862745 percent,94 degree_Celsius,45 degree_Celsius,7.69 gps,N/A
2025-04-11 18:15:04,792.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,31.764705882352942 percent,94 degree_Celsius,45 degree_Celsius,7.66 gps,N/A
2025-04-11 18:15:06,789.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,28.235294117647058 percent,94 degree_Celsius,45 degree_Celsius,11.8 gps,N/A
2025-04-11 18:15:09,790.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,12.02 gps,N/A
2025-04-11 18:15:11,789.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,29.019607843137255 percent,94 degree_Celsius,45 degree_Celsius,12.38 gps,N/A
2025-04-11 18:15:13,792.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,94 degree_Celsius,45 degree_Celsius,12.66 gps,N/A
2025-04-11 18:15:15,789.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,12.38 gps,N/A
2025-04-11 18:15:18,792.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,12.3 gps,N/A
2025-04-11 18:15:20,790.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,94 degree_Celsius,45 degree_Celsius,12.19 gps,N/A
2025-04-11 18:15:22,789.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,11.99 gps,N/A
2025-04-11 18:15:25,789.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,26.666666666666668 percent,94 degree_Celsius,45 degree_Celsius,12.11 gps,N/A
2025-04-11 18:15:27,794.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,94 degree_Celsius,45 degree_Celsius,12.38 gps,N/A
2025-04-11 18:15:29,791.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,12.19 gps,N/A
2025-04-11 18:15:32,791.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,26.274509803921568 percent,94 degree_Celsius,45 degree_Celsius,12.47 gps,N/A
2025-04-11 18:15:34,790.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,94 degree_Celsius,45 degree_Celsius,12.33 gps,N/A
2025-04-11 18:15:36,787.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.84313725490196 percent,94 degree_Celsius,45 degree_Celsius,11.91 gps,N/A
2025-04-11 18:15:38,785.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,28.627450980392158 percent,94 degree_Celsius,45 degree_Celsius,12.44 gps,N/A
2025-04-11 18:15:41,791.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,33.72549019607843 percent,94 degree_Celsius,45 degree_Celsius,12.19 gps,N/A
2025-04-11 18:15:43,788.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,34.90196078431372 percent,94 degree_Celsius,45 degree_Celsius,12.3 gps,N/A
2025-04-11 18:15:45,799.0 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,32.94117647058823 percent,94 degree_Celsius,45 degree_Celsius,12.13 gps,N/A
2025-04-11 18:15:48,796.0 revolutions_per_minute,5.0 kilometer_per_hour,0.0 percent,30.19607843137255 percent,94 degree_Celsius,45 degree_Celsius,12.44 gps,N/A
2025-04-11 18:15:50,804.0 revolutions_per_minute,6.0 kilometer_per_hour,0.0 percent,23.92156862745098 percent,94 degree_Celsius,45 degree_Celsius,12.36 gps,N/A
2025-04-11 18:15:52,784.5 revolutions_per_minute,6.0 kilometer_per_hour,0.0 percent,25.098039215686274 percent,94 degree_Celsius,45 degree_Celsius,12.22 gps,N/A
2025-04-11 18:15:55,788.0 revolutions_per_minute,6.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,11.97 gps,N/A
2025-04-11 18:15:57,787.0 revolutions_per_minute,5.0 kilometer_per_hour,0.0 percent,30.58823529411765 percent,94 degree_Celsius,45 degree_Celsius,12.11 gps,N/A
2025-04-11 18:15:59,798.0 revolutions_per_minute,6.0 kilometer_per_hour,0.0 percent,26.274509803921568 percent,94 degree_Celsius,45 degree_Celsius,12.22 gps,N/A
2025-04-11 18:16:01,789.5 revolutions_per_minute,6.0 kilometer_per_hour,0.0 percent,26.666666666666668 percent,94 degree_Celsius,45 degree_Celsius,12.22 gps,N/A
2025-04-11 18:16:04,979.5 revolutions_per_minute,7.0 kilometer_per_hour,4.705882352941177 percent,30.980392156862745 percent,94 degree_Celsius,45 degree_Celsius,17.55 gps,N/A
2025-04-11 18:16:06,1193.5 revolutions_per_minute,9.0 kilometer_per_hour,6.2745098039215685 percent,42.35294117647059 percent,94 degree_Celsius,45 degree_Celsius,12.08 gps,N/A
2025-04-11 18:16:08,1511.0 revolutions_per_minute,12.0 kilometer_per_hour,7.450980392156863 percent,40.0 percent,94 degree_Celsius,45 degree_Celsius,15.27 gps,N/A
2025-04-11 18:16:11,1365.0 revolutions_per_minute,14.0 kilometer_per_hour,6.666666666666667 percent,52.549019607843135 percent,94 degree_Celsius,45 degree_Celsius,11.91 gps,N/A
2025-04-11 18:16:13,1163.5 revolutions_per_minute,15.0 kilometer_per_hour,0.0 percent,15.686274509803921 percent,94 degree_Celsius,45 degree_Celsius,10.24 gps,N/A
2025-04-11 18:16:15,781.0 revolutions_per_minute,12.0 kilometer_per_hour,0.0 percent,25.49019607843137 percent,94 degree_Celsius,45 degree_Celsius,6.5200000000000005 gps,N/A
2025-04-11 18:16:17,778.5 revolutions_per_minute,7.0 kilometer_per_hour,0.0 percent,32.94117647058823 percent,95 degree_Celsius,45 degree_Celsius,6.88 gps,N/A
2025-04-11 18:16:20,794.0 revolutions_per_minute,10.0 kilometer_per_hour,0.0 percent,28.627450980392158 percent,95 degree_Celsius,45 degree_Celsius,6.63 gps,N/A
2025-04-11 18:16:22,803.5 revolutions_per_minute,18.0 kilometer_per_hour,0.0 percent,18.03921568627451 percent,95 degree_Celsius,45 degree_Celsius,6.58 gps,N/A
2025-04-11 18:16:24,1124.0 revolutions_per_minute,16.0 kilometer_per_hour,0.0 percent,18.03921568627451 percent,95 degree_Celsius,45 degree_Celsius,8.61 gps,N/A
2025-04-11 18:16:27,1380.0 revolutions_per_minute,17.0 kilometer_per_hour,10.980392156862745 percent,63.529411764705884 percent,94 degree_Celsius,45 degree_Celsius,17.77 gps,N/A
2025-04-11 18:16:29,1726.5 revolutions_per_minute,22.0 kilometer_per_hour,9.803921568627452 percent,58.431372549019606 percent,94 degree_Celsius,45 degree_Celsius,19.080000000000002 gps,N/A
2025-04-11 18:16:31,1373.0 revolutions_per_minute,23.0 kilometer_per_hour,0.0 percent,0.0 percent,93 degree_Celsius,45 degree_Celsius,11.38 gps,N/A
2025-04-11 18:16:33,775.5 revolutions_per_minute,14.0 kilometer_per_hour,0.0 percent,22.745098039215687 percent,93 degree_Celsius,45 degree_Celsius,6.19 gps,N/A
2025-04-11 18:16:36,785.5 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,41.568627450980394 percent,92 degree_Celsius,45 degree_Celsius,6.44 gps,N/A
2025-04-11 18:16:38,832.5 revolutions_per_minute,5.0 kilometer_per_hour,4.705882352941177 percent,46.27450980392157 percent,92 degree_Celsius,45 degree_Celsius,8.63 gps,N/A
2025-04-11 18:16:40,1184.0 revolutions_per_minute,9.0 kilometer_per_hour,6.666666666666667 percent,47.05882352941177 percent,92 degree_Celsius,45 degree_Celsius,11.13 gps,N/A
2025-04-11 18:16:43,1413.0 revolutions_per_minute,11.0 kilometer_per_hour,0.0 percent,23.529411764705884 percent,91 degree_Celsius,45 degree_Celsius,14.02 gps,N/A
2025-04-11 18:16:45,1229.0 revolutions_per_minute,9.0 kilometer_per_hour,6.666666666666667 percent,45.09803921568628 percent,90 degree_Celsius,45 degree_Celsius,11.49 gps,N/A
2025-04-11 18:16:47,1448.5 revolutions_per_minute,11.0 kilometer_per_hour,7.450980392156863 percent,43.13725490196079 percent,90 degree_Celsius,44 degree_Celsius,14.77 gps,N/A
2025-04-11 18:16:49,1714.0 revolutions_per_minute,14.0 kilometer_per_hour,10.196078431372548 percent,47.05882352941177 percent,89 degree_Celsius,45 degree_Celsius,16.47 gps,N/A
2025-04-11 18:16:52,1386.0 revolutions_per_minute,18.0 kilometer_per_hour,5.882352941176471 percent,43.92156862745098 percent,89 degree_Celsius,45 degree_Celsius,13.58 gps,N/A
2025-04-11 18:16:54,1422.0 revolutions_per_minute,18.0 kilometer_per_hour,10.196078431372548 percent,58.03921568627451 percent,88 degree_Celsius,44 degree_Celsius,14.94 gps,N/A
2025-04-11 18:16:56,1761.0 revolutions_per_minute,22.0 kilometer_per_hour,14.117647058823529 percent,67.84313725490196 percent,88 degree_Celsius,45 degree_Celsius,25.240000000000002 gps,N/A
2025-04-11 18:16:59,1644.5 revolutions_per_minute,24.0 kilometer_per_hour,7.8431372549019605 percent,42.35294117647059 percent,88 degree_Celsius,45 degree_Celsius,13.58 gps,N/A
2025-04-11 18:17:01,1708.0 revolutions_per_minute,24.0 kilometer_per_hour,1.5686274509803921 percent,20.784313725490197 percent,88 degree_Celsius,44 degree_Celsius,16.19 gps,N/A
2025-04-11 18:17:03,762.5 revolutions_per_minute,13.0 kilometer_per_hour,0.0 percent,26.274509803921568 percent,88 degree_Celsius,44 degree_Celsius,5.91 gps,N/A
2025-04-11 18:17:05,793.5 revolutions_per_minute,11.0 kilometer_per_hour,0.7843137254901961 percent,32.549019607843135 percent,89 degree_Celsius,44 degree_Celsius,6.11 gps,N/A
2025-04-11 18:17:08,1042.5 revolutions_per_minute,12.0 kilometer_per_hour,5.882352941176471 percent,52.15686274509804 percent,89 degree_Celsius,44 degree_Celsius,9.38 gps,N/A
2025-04-11 18:17:10,1407.0 revolutions_per_minute,16.0 kilometer_per_hour,9.411764705882353 percent,63.529411764705884 percent,89 degree_Celsius,44 degree_Celsius,15.44 gps,N/A
2025-04-11 18:17:12,1375.5 revolutions_per_minute,20.0 kilometer_per_hour,0.0 percent,8.627450980392156 percent,89 degree_Celsius,44 degree_Celsius,14.49 gps,N/A
2025-04-11 18:17:14,783.5 revolutions_per_minute,17.0 kilometer_per_hour,0.0 percent,13.72549019607843 percent,89 degree_Celsius,44 degree_Celsius,5.63 gps,N/A
2025-04-11 18:17:17,782.5 revolutions_per_minute,13.0 kilometer_per_hour,0.0 percent,26.666666666666668 percent,89 degree_Celsius,44 degree_Celsius,6.08 gps,N/A
2025-04-11 18:17:19,797.0 revolutions_per_minute,11.0 kilometer_per_hour,2.3529411764705883 percent,28.627450980392158 percent,89 degree_Celsius,44 degree_Celsius,6.83 gps,N/A
2025-04-11 18:17:21,1137.0 revolutions_per_minute,12.0 kilometer_per_hour,2.7450980392156863 percent,46.27450980392157 percent,89 degree_Celsius,43 degree_Celsius,10.49 gps,N/A
2025-04-11 18:17:24,752.0 revolutions_per_minute,12.0 kilometer_per_hour,0.0 percent,31.764705882352942 percent,89 degree_Celsius,43 degree_Celsius,6.24 gps,N/A
2025-04-11 18:17:26,813.0 revolutions_per_minute,11.0 kilometer_per_hour,0.0 percent,25.49019607843137 percent,89 degree_Celsius,43 degree_Celsius,6.24 gps,N/A
2025-04-11 18:17:28,1159.5 revolutions_per_minute,12.0 kilometer_per_hour,7.8431372549019605 percent,61.568627450980394 percent,89 degree_Celsius,43 degree_Celsius,11.08 gps,N/A
2025-04-11 18:17:30,979.5 revolutions_per_minute,15.0 kilometer_per_hour,0.0 percent,14.509803921568627 percent,89 degree_Celsius,43 degree_Celsius,6.24 gps,N/A
2025-04-11 18:17:33,787.0 revolutions_per_minute,13.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,89 degree_Celsius,43 degree_Celsius,6.24 gps,N/A
2025-04-11 18:17:35,889.0 revolutions_per_minute,11.0 kilometer_per_hour,2.7450980392156863 percent,28.627450980392158 percent,89 degree_Celsius,43 degree_Celsius,6.94 gps,N/A
2025-04-11 18:17:37,1172.5 revolutions_per_minute,12.0 kilometer_per_hour,7.0588235294117645 percent,58.8235294117647 percent,89 degree_Celsius,43 degree_Celsius,11.3 gps,N/A
2025-04-11 18:17:40,767.5 revolutions_per_minute,13.0 kilometer_per_hour,0.0 percent,28.235294117647058 percent,89 degree_Celsius,43 degree_Celsius,6.24 gps,N/A
2025-04-11 18:17:42,787.5 revolutions_per_minute,11.0 kilometer_per_hour,0.0 percent,28.627450980392158 percent,89 degree_Celsius,43 degree_Celsius,6.19 gps,N/A
2025-04-11 18:17:44,1625.5 revolutions_per_minute,16.0 kilometer_per_hour,0.0 percent,20.392156862745097 percent,89 degree_Celsius,42 degree_Celsius,24.69 gps,N/A
2025-04-11 18:17:46,772.5 revolutions_per_minute,14.0 kilometer_per_hour,0.0 percent,22.352941176470587 percent,89 degree_Celsius,42 degree_Celsius,5.94 gps,N/A
2025-04-11 18:17:49,787.0 revolutions_per_minute,11.0 kilometer_per_hour,0.0 percent,29.41176470588235 percent,89 degree_Celsius,42 degree_Celsius,6.47 gps,N/A
